"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","swept_area_km2","ANSSE_area","trend_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
1,8,8,2020,"N_Inget","N_Inget",56.3632,12.2601,56.3952,12.2604,0.07148,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
1,9,9,2020,"N_Inget","N_Inget",56.3353,12.611,56.354,12.5699,0.070791,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
1,10,10,2020,"A7_Syntetiskt rep","A_Plast",56.5481,12.5467,56.5568,12.5987,0.072345,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",13.8226553320893,0.0276453106641786,"Plast"
1,11,11,2020,"N_Inget","N_Inget",56.8406,12.2403,56.8155,12.2118,0.06594,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
1,12,12,2020,"B8_Övrig metall","B_Metall",56.7874,11.8803,56.8003,11.8289,0.072345,"utanför ANSSE-area","Utanför ANSSE-area","OTHER",13.8226553320893,13.8226553320893,"Metall"
1,12,12,2020,"A3_Plastpåse","A_Plast",56.7874,11.8803,56.8003,11.8289,0.072345,"utanför ANSSE-area","Utanför ANSSE-area","SUP",13.8226553320893,1.02287649457461,"Plast"
1,14,13,2020,"N_Inget","N_Inget",57.0157,12.2079,57.0465,12.1934,0.074277,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
1,15,14,2020,"N_Inget","N_Inget",57.1944,12.0555,57.2237,12.0505,0.06704,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
1,16,15,2020,"A9_Buntband, plast","A_Plast",57.1834,11.6583,57.2151,11.6626,0.067203,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","OTHER",14.8802880823773,0.0446408642471318,"Plast"
1,17,16,2020,"A7_Syntetiskt rep","A_Plast",57.3442,11.5847,57.3129,11.5773,0.073899,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",13.5319828414458,0.0135319828414458,"Plast"
1,18,17,2020,"A3_Plastpåse","A_Plast",57.4048,11.3235,57.3738,11.3156,0.06964,"utanför ANSSE-area","Utanför ANSSE-area","SUP",14.3595634692705,7.78288340034463,"Plast"
1,19,18,2020,"N_Inget","N_Inget",57.8295,10.6395,57.8316,10.5809,0.0735,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
1,20,19,2020,"A14_Övrig plast","A_Plast",57.8606,10.9643,57.881,11.0095,0.066861,"utanför ANSSE-area","Utanför ANSSE-area","OTHER",14.9564020879137,0.0598256083516549,"Plast"
1,20,19,2020,"A7_Syntetiskt rep","A_Plast",57.8606,10.9643,57.881,11.0095,0.066861,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",14.9564020879137,0.418779258461584,"Plast"
1,20,19,2020,"A2_Plastfilm","A_Plast",57.8606,10.9643,57.881,11.0095,0.066861,"utanför ANSSE-area","Utanför ANSSE-area","SUP",14.9564020879137,0.0299128041758275,"Plast"
